"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases"
"13","Afghanistan",2020-05-17,117,6664,262,169,1,778,33,5717
"127","Albania",2020-05-17,117,946,13,31,0,715,1,200
"188","Algeria",2020-05-17,117,7019,198,548,6,3507,98,2964
"299","Andorra",2020-05-17,117,761,0,51,0,617,2,93
"319","Angola",2020-05-17,117,48,0,2,0,17,0,29
"387","Antigua and Barbuda",2020-05-17,117,25,0,3,0,19,0,3
"454","Argentina",2020-05-17,117,8068,263,373,10,2569,35,5126
"517","Armenia",2020-05-17,117,4472,189,60,5,1925,134,2487
"600","Australia",2020-05-17,117,7054,10,99,1,6392,28,563
"771","Austria",2020-05-17,117,16242,41,629,0,14563,39,1050
"856","Azerbaijan",2020-05-17,117,3274,136,39,3,2015,71,1220
"940","Bahrain",2020-05-17,117,6956,209,12,0,2910,148,4034
"1022","Bangladesh",2020-05-17,117,22268,1273,328,14,4373,256,17567
"1038","Barbados",2020-05-17,117,88,2,7,0,68,1,13
"1139","Belarus",2020-05-17,117,29650,969,165,5,9932,434,19553
"1186","Belgium",2020-05-17,117,55280,291,9052,47,14630,170,31598
"1291","Belize",2020-05-17,117,18,0,2,0,16,0,0
"1347","Benin",2020-05-17,117,339,0,2,0,83,0,254
"1394","Bhutan",2020-05-17,117,21,0,0,0,5,0,16
"1507","Bolivia",2020-05-17,117,4088,262,169,4,493,20,3426
"1560","Bosnia and Herzegovina",2020-05-17,117,2290,23,133,4,1436,81,721
"1608","Botswana",2020-05-17,117,25,1,1,0,17,0,7
"1662","Brazil",2020-05-17,117,241080,7569,16118,456,94122,4450,130840
"1793","Brunei",2020-05-17,117,141,0,1,0,136,0,4
"1822","Bulgaria",2020-05-17,117,2211,36,108,3,598,25,1505
"1939","Burkina Faso",2020-05-17,117,796,14,51,0,644,40,101
"1956","Burma",2020-05-17,117,184,2,6,0,97,1,81
"2036","Burundi",2020-05-17,117,23,8,1,0,15,8,7
"2097","Cambodia",2020-05-17,117,122,0,0,0,122,0,0
"2204","Cameroon",2020-05-17,117,3105,0,140,0,1567,0,1398
"2290","Canada",2020-05-17,117,78332,1126,5903,103,38563,731,33866
"2389","Cape Verde",2020-05-17,117,328,0,3,0,84,0,241
"2410","Central African Republic",2020-05-17,117,327,0,0,0,13,0,314
"2465","Chad",2020-05-17,117,503,29,53,3,117,6,333
"2547","Chile",2020-05-17,117,43781,2353,450,29,19213,1199,24118
"2667","Colombia",2020-05-17,117,15574,635,574,12,3751,164,11249
"2681","Comoros",2020-05-17,117,11,0,1,0,3,0,7
"2745","Costa Rica",2020-05-17,117,863,10,10,0,565,14,288
